"LOC_NO","LOC_NAME","ENABLED","ADDR1","CITY","STATE","ZIP","COUNTRY","DOMAIN","TIMEZONE"
"04000001","RACC SERVEIS MEDICS, S.A.","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04000003","M.R.C. 2000, S.A.","TRUE","CL CALLE LINCOLN 27","BARCELONA","BARCELONA","08006","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04000004","M.R.C. 2000, S.A. SANTALO","TRUE","CL CALLE SANTALO 8","BARCELONA","BARCELONA","08021","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04000005","M.R.C. 2000, S.A. MADRAZO","TRUE","CL CALLE MADRAZO 20-22","BARCELONA","BARCELONA","08006","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04000099","CENTRO TRABAJO GENERICO","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04000006","M.R.C.2000 MADRID","TRUE","CL CALLE SAN BERNARDO 110","MADRID","MADRID","28015","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700001","SERVIHOGAR BADALONA","TRUE","AV AVENIDA DELS VENTS 9","BADALONA","BARCELONA","08917","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700007","SERVIHOGAR BADALONA 2","TRUE","CL CALLE DE LA TECNICA 7","BADALONA","BARCELONA","08917","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700009","SERVIHOGAR PLAZA VAPOR","TRUE","PLAZA VAPOR, 14","BADALONA","BARCELONA","08915","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700010","SERVIHOGAR VALENCIA(Barcelona)","TRUE","CL VALENCIA, 146","BARCELONA","BARCELONA","08011","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700012","SERVIHOGAR AV.DIAGONAL","TRUE","AV. DIAGONAL, 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700002","SERVIHOGAR MADRID","TRUE","CL CALLE SAN BERNARDO 110","MADRID","MADRID","28015","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700004","SERVIHOGAR MADRID-VILLAVICIOSA","TRUE","AV AVENIDA QUITAPESARES 67","VILLAVICIOSA DE ODON","MADRID","28670","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700011","SERVIHOGAR MADRID-RIVAS","TRUE","CL MARIE CURIE, 19, 3A PL. ED. AUTOCAMPO","RIVAS-VACIAMADRID","MADRID","28521","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700005","SERVIHOGAR MALAGA","TRUE","PJ PASAJE SOLLUVE 1","MÁLAGA","MALAGA","29010","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700008","SERVIHOGAR SEVILLA","TRUE","CL CALLE ARQUITECTURA 2","SEVILLA","SEVILLA","41015","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700003","SERVIHOGAR VALENCIA","TRUE","CL JESUS 48 BAJOS","VALENCIA","VALENCIA","46007","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04700006","SERVIHOGAR BILBAO","TRUE","CL CALLE ERCILLA 8","BILBAO","VIZCAYA","48009","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"04900001","GestionAsistenciaServicios 24Horas","TRUE","PZ PLAZA VAPOR 14","BADALONA","BARCELONA","08917","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"05600001","C.MEDICO DE REVISION S.L.","TRUE","CL CALLE TRAVESERA DE GRACIA 17","BARCELONA","BARCELONA","08021","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"05600099","CENTRO TRABAJO GENERICO","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501524","Avenida Pais Valenciano ALICANTE RACC","TRUE","AV AVENIDA PAIS VALENCIANO 9","ELCHE","ALICANTE","03201","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501545","San Miguel MALLORCA RACC","TRUE","CL CALLE SAN MIGUEL 64","PALMA DE MALLORCA","BALEARES","07002","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501503","Francesc Layret BARCELONA RACC","TRUE","CL CALLE FRANCESC LAYRET 96","BADALONA","BARCELONA","08911","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501505","Diagonal BARCELONA RACC","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501506","Valencia 340 BARCELONA RACC","TRUE","CL CALLE VALENCIA 340","BARCELONA","BARCELONA","08009","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501507","Valencia 146 BARCELONA RACC","TRUE","CL CALLE VALENCIA 146","BARCELONA","BARCELONA","08011","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
